Event_id,Episode,Agri,Name,Country
1016449,39,- Medium,"Goias, Distrito Federal",Brazil
1016449,39,- Medium,Maranhao,Brazil
1016449,39,- High,Mato Grosso,Brazil
1016449,39,- Medium,Mato Grosso Do Sul,Brazil
1016449,39,- Medium,Minas Gerais,Brazil
1016449,39,- Medium,Para,Brazil
1016449,39,- Medium,Parana,Brazil
1016449,39,- Medium,Piaui,Brazil
1016449,39,- High,Rio De Janeiro,Brazil
1016449,39,- High,Rondonia,Brazil
1016449,39,- Medium,Sao Paulo,Brazil
1016449,39,- Medium,Tocantins,Brazil
1016449,39,- Medium,Callao,Peru
1016449,39,- Medium,Madre de Dios,Peru
1016449,39,- Medium,Moquegua,Peru
1016449,39,- Medium,Puno,Peru
1016449,39,- Medium,Beni,Bolivia
1016449,39,- Medium,Chuquisaca,Bolivia
1016449,39,- Medium,Cochabamba,Bolivia
1016449,39,- Medium,La Paz,Bolivia
1016449,39,- Medium,Oruro,Bolivia
1016449,39,- Medium,Potosi,Bolivia
1016449,39,- High,Santa Cruz,Bolivia
1016449,39,- Low,Amazonas,Colombia
1016449,39,- Medium,Loreto,Peru
1016449,39,- Medium,Arauca,Colombia
1016449,39,- Medium,Boyaca,Colombia
1016449,39,- Medium,Caqueta,Colombia
1016449,39,- Medium,Casanare,Colombia
1016449,39,- Medium,Guaviare,Colombia
1016449,39,- Medium,Huila,Colombia
1016449,39,- Medium,Meta,Colombia
1016449,39,- Medium,Vichada,Colombia
1016449,39,- Medium,Amazonas,Venezuela
1016449,39,- Medium,Anzoategui,Venezuela
1016449,39,- Medium,Apure,Venezuela
1016449,39,- Medium,Aragua,Venezuela
1016449,39,- Medium,Barinas,Venezuela
1016449,39,- Medium,Bolivar,Venezuela
1016449,39,- Medium,Carabobo,Venezuela
1016449,39,- Medium,Cojedes,Venezuela
1016449,39,- Medium,Falcon,Venezuela
1016449,39,- Medium,Guarico,Venezuela
1016449,39,- Medium,Lara,Venezuela
1016449,39,- Medium,Merida,Venezuela
1016449,39,- Medium,Miranda,Venezuela
1016449,39,- Medium,Nueva Esparta,Venezuela
1016449,39,- Medium,Portuguesa,Venezuela
1016449,39,- Medium,Tachira,Venezuela
1016449,39,- Medium,Trujillo,Venezuela
1016449,39,- Medium,Yaracuy,Venezuela
1016449,39,- Medium,Zulia,Venezuela
1016449,39,- Medium,Vargas,Venezuela
1016449,39,- Medium,Distrito Capital,Venezuela
1016449,39,- Medium,Boyaca,Colombia
1016449,39,- Medium,Casanare,Colombia
1016449,39,- Low,Cundinamarca,Colombia
1016449,39,- Medium,Meta,Colombia
1016449,39,- Low,Tolima,Colombia
1016449,39,- Medium,Cauca,Colombia
1016449,39,- Medium,Putumayo,Colombia
1016449,39,- Medium,"Azuay, Canar, Morona Santiago",Ecuador
1016449,39,- Medium,"Chimborazo, Tunguarhua, Pastaza, Cotopaxi",Ecuador
1016449,39,- Medium,"Imbabura, Esmeraldas, Carchi, Sucumbios",Ecuador
1016449,39,- Medium,"Loja, El Oro, Zamora Chinchipe",Ecuador
1016449,39,- Medium,"Napo, Pichincha, Orellana",Ecuador
1016449,39,- Medium,Amazonas,Peru
1016449,39,- Medium,Ancash,Peru
1016449,39,- Medium,Apurímac,Peru
1016449,39,- Medium,Arequipa,Peru
1016449,39,- Medium,Ayacucho,Peru
1016449,39,- Medium,Cajamarca,Peru
1016449,39,- Medium,Cusco,Peru
1016449,39,- Medium,Huancavelica,Peru
1016449,39,- Medium,Huánuco,Peru
1016449,39,- Medium,Ica,Peru
1016449,39,- Medium,Junín,Peru
1016449,39,- Medium,La Libertad,Peru
1016449,39,- Medium,Lima,Peru
