Event_id,Episode,Radius,Population
1449406,1598183,100 km,280000 people
1449406,1598183,75 km,110000 people
1449406,1598183,50 km,13000 people
1449406,1598183,20 km,no people
1449406,1598183,10 km,no people
1449406,1598183,5 km,no people
1449406,1598183,2 km,no people
1449447,1598231,Radius,Population
1449447,1598231,100 km,no people
1449447,1598231,75 km,no people
1449447,1598231,50 km,no people
1449447,1598231,20 km,no people
1449447,1598231,10 km,no people
1449447,1598231,5 km,no people
1449447,1598231,2 km,no people
