Event_id,Episode,Radius,Population
1000083,1,50 km,200000 people
1000083,1,30 km,7200 people
1000083,1,20 km,6300 people
1000083,1,10 km,6300 people
1000083,1,5 km,1600 people
1000083,1,2 km,no people
1000084,3,Radius,Population
1000084,3,100 km,4.5 million people
1000084,3,75 km,3.8 million people
1000084,3,50 km,2 million people
1000084,3,30 km,1.2 million people
1000084,3,20 km,780000 people
1000084,3,10 km,130000 people
1000084,3,5 km,<1000 people
1000084,3,2 km,<1000 people
1000085,2,Radius,Population
1000085,2,100 km,740000 people
1000085,2,75 km,640000 people
1000085,2,50 km,250000 people
1000085,2,30 km,84000 people
1000085,2,20 km,41000 people
1000085,2,10 km,18000 people
1000085,2,5 km,<1000 people
1000085,2,2 km,no people
1000086,1,Radius,Population
1000086,1,100 km,23.6 million people
1000086,1,75 km,18.1 million people
1000086,1,50 km,9.9 million people
1000086,1,30 km,4.5 million people
1000086,1,20 km,1.3 million people
1000086,1,10 km,140000 people
1000086,1,5 km,15000 people
1000086,1,2 km,<1000 people
1000087,1,Radius,Population
1000087,1,100 km,26.8 million people
1000087,1,75 km,17.8 million people
1000087,1,50 km,5.2 million people
1000087,1,30 km,720000 people
1000087,1,20 km,230000 people
1000087,1,10 km,<1000 people
1000087,1,5 km,no people
1000087,1,2 km,no people
1000088,3,Radius,Population
1000088,3,100 km,360000 people
1000088,3,75 km,78000 people
1000088,3,50 km,61000 people
1000088,3,30 km,25000 people
1000088,3,20 km,23000 people
1000088,3,10 km,19000 people
1000088,3,5 km,2500 people
1000088,3,2 km,no people
1000089,3,Radius,Population
1000089,3,100 km,850000 people
1000089,3,75 km,430000 people
1000089,3,50 km,310000 people
1000089,3,30 km,58000 people
1000089,3,20 km,38000 people
1000089,3,10 km,27000 people
1000089,3,5 km,<1000 people
1000089,3,2 km,no people
1000090,2,Radius,Population
1000090,2,100 km,290000 people
1000090,2,75 km,270000 people
1000090,2,50 km,77000 people
1000090,2,30 km,30000 people
1000090,2,20 km,7800 people
1000090,2,10 km,<1000 people
1000090,2,5 km,<1000 people
1000090,2,2 km,<1000 people
1000091,1,Radius,Population
1000091,1,100 km,4.5 million people
1000091,1,75 km,3.8 million people
1000091,1,50 km,2 million people
1000091,1,30 km,1.2 million people
1000091,1,20 km,780000 people
1000091,1,10 km,130000 people
1000091,1,5 km,<1000 people
1000091,1,2 km,<1000 people
1000092,2,Radius,Population
1000092,2,100 km,10.8 million people
1000092,2,75 km,5.6 million people
1000092,2,50 km,2.4 million people
1000092,2,30 km,870000 people
1000092,2,20 km,360000 people
1000092,2,10 km,88000 people
1000092,2,5 km,2700 people
1000092,2,2 km,no people
1000093,1,Radius,Population
1000093,1,100 km,740000 people
1000093,1,75 km,640000 people
1000093,1,50 km,250000 people
1000093,1,30 km,84000 people
1000093,1,20 km,41000 people
1000093,1,10 km,18000 people
1000093,1,5 km,<1000 people
1000093,1,2 km,no people
1000094,2,Radius,Population
1000094,2,100 km,1.2 million people
1000094,2,75 km,470000 people
1000094,2,50 km,13000 people
1000094,2,30 km,<1000 people
1000094,2,20 km,<1000 people
1000094,2,10 km,<1000 people
